CustomerID,VisitDate,VisitTime,StoreType,AmountSpent,MarketingCampaign,Promotion,FootTraffic,CustomerSatisfaction
1,2023-04-13,2023-01-01 10:00:00,Food,689.36,No,No,7049,4
2,2023-12-15,2023-01-01 09:00:00,Apparel,246.33,Yes,No,4450,1
3,2023-09-28,2023-01-01 10:00:00,Apparel,837.59,No,No,4144,4
4,2023-04-17,2023-01-01 09:00:00,Apparel,724.62,No,No,7574,2
5,2023-03-13,2023-01-01 18:00:00,Apparel,241.76,Yes,No,9424,5
6,2023-07-08,2023-01-01 18:00:00,Apparel,975.22,No,No,1441,5
7,2023-01-21,2023-01-01 17:00:00,Electronics,668.15,No,No,2914,5
8,2023-04-13,2023-01-01 18:00:00,Apparel,457.9,Yes,No,8045,3
9,2023-05-02,2023-01-01 20:00:00,Electronics,165.95,No,No,8713,3
10,2023-08-03,2023-01-01 16:00:00,Electronics,537.89,No,No,8422,5
11,2023-11-27,2023-01-01 15:00:00,Apparel,173.13,Yes,No,5644,1
12,2023-03-29,2023-01-01 11:00:00,Apparel,435.2,No,No,7412,3
13,2023-04-10,2023-01-01 16:00:00,Electronics,414.63,Yes,No,4414,2
14,2023-12-26,2023-01-01 10:00:00,Electronics,722.74,No,No,9900,5
15,2023-06-01,2023-01-01 10:00:00,Food,200.46,Yes,No,8488,1
16,2023-05-11,2023-01-01 19:00:00,Food,823.65,No,No,6838,3
17,2023-05-30,2023-01-01 18:00:00,Food,332.87,No,Yes,6080,2
18,2023-11-05,2023-01-01 11:00:00,Electronics,449.55,No,Yes,7026,3
19,2023-09-15,2023-01-01 15:00:00,Food,774.62,Yes,No,4813,2
20,2023-12-10,2023-01-01 09:00:00,Food,629.14,No,No,1735,5
21,2023-10-21,2023-01-01 16:00:00,Food,314.95,Yes,No,1494,1
22,2023-07-11,2023-01-01 20:00:00,Apparel,392.34,No,Yes,9410,4
23,2023-10-04,2023-01-01 15:00:00,Food,312.73,Yes,No,2536,3
24,2023-06-10,2023-01-01 12:00:00,Apparel,598.82,No,Yes,1935,1
25,2023-11-10,2023-01-01 13:00:00,Electronics,339.3,Yes,No,8338,4
26,2023-01-22,2023-01-01 18:00:00,Apparel,728.44,No,Yes,5377,5
27,2023-09-10,2023-01-01 09:00:00,Apparel,583.99,No,No,8047,2
28,2023-08-24,2023-01-01 12:00:00,Apparel,154.25,No,Yes,6665,5
29,2023-12-11,2023-01-01 09:00:00,Apparel,317.17,No,No,1151,1
30,2023-02-18,2023-01-01 09:00:00,Apparel,229.23,No,No,5396,1
31,2023-02-28,2023-01-01 18:00:00,Food,396.41,No,Yes,8978,3
32,2023-06-19,2023-01-01 09:00:00,Apparel,520.82,No,No,6962,4
33,2023-07-07,2023-01-01 15:00:00,Apparel,511.7,No,No,9902,4
34,2023-09-28,2023-01-01 15:00:00,Apparel,756.98,No,No,3009,3
35,2023-07-09,2023-01-01 12:00:00,Electronics,197.28,No,No,857,5
36,2023-06-24,2023-01-01 20:00:00,Apparel,947.01,No,No,7535,4
37,2023-02-20,2023-01-01 10:00:00,Apparel,349.42,Yes,No,8345,5
38,2023-12-30,2023-01-01 20:00:00,Apparel,307.25,No,No,6628,2
39,2023-02-24,2023-01-01 11:00:00,Electronics,688.33,No,No,6766,1
40,2023-09-01,2023-01-01 16:00:00,Apparel,807.46,No,No,6466,2
41,2023-11-16,2023-01-01 16:00:00,Apparel,384.69,No,No,3738,3
42,2023-05-11,2023-01-01 19:00:00,Apparel,749.38,No,No,8199,4
43,2023-11-03,2023-01-01 19:00:00,Food,884.9,No,No,2433,2
44,2023-05-15,2023-01-01 14:00:00,Apparel,769.14,No,Yes,1703,1
